,,,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,OTHER,,,,TOTAL,,,
,,,,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price
Year,Month,State,Data Status,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
2010,7,UT,Final,"100,288","1,060,924","935,800",9.45,"78,137","1,037,618","122,390",7.53,"44,651","788,519","9,531",5.66,235,"2,573",10,9.13,.,.,.,.,"223,312","2,889,635","1,067,731",7.73
2010,7,VA,Final,"551,977","5,094,800","3,306,395",10.83,"356,426","4,633,121","426,595",7.69,"110,939","1,609,325","5,820",6.89,"1,101","15,178",1,7.25,.,.,.,.,"1,020,443","11,352,424","3,738,811",8.99
2010,7,VT,Final,"30,550","198,232","308,200",15.41,"25,119","188,862","50,682",13.30,"11,709","125,001",218,9.37,0,0,0,0.00,.,.,.,.,"67,378","512,096","359,100",13.16
2010,7,WA,Final,"198,445","2,411,079","2,824,844",8.23,"172,533","2,357,664","354,094",7.32,"94,423","2,422,300","33,710",3.90,44,603,6,7.30,.,.,.,.,"465,445","7,191,647","3,212,654",6.47
2010,7,WI,Final,"299,812","2,332,581","2,597,677",12.85,"220,430","2,129,104","339,036",10.35,"154,263","2,166,950","5,436",7.12,0,0,0,0.00,.,.,.,.,"674,505","6,628,636","2,942,149",10.18
2010,7,WV,Final,"97,011","1,084,829","866,388",8.94,"55,769","741,601","137,469",7.52,"58,403","973,403","12,374",6.00,26,334,1,7.78,.,.,.,.,"211,210","2,800,167","1,016,232",7.54
2010,7,WY,Final,"18,501","196,070","257,884",9.44,"25,653","337,632","59,959",7.60,"38,408","782,671","9,462",4.91,0,0,0,0.00,.,.,.,.,"82,562","1,316,372","327,305",6.27
2010,8,AK,Final,"25,448","153,060","273,175",16.63,"32,658","233,408","47,932",13.99,"15,584","115,840","1,619",13.45,0,0,0,0.00,.,.,.,.,"73,690","502,308","322,726",14.67
2010,8,AL,Final,"439,159","3,929,071","2,150,412",11.18,"244,377","2,358,196","357,396",10.36,"193,906","2,866,917","7,010",6.76,0,0,0,0.00,.,.,.,.,"877,443","9,154,184","2,514,818",9.59
2010,8,AR,Final,"198,033","2,227,452","1,330,107",8.89,"90,522","1,293,003","179,905",7.00,"88,941","1,580,598","38,490",5.63,5,38,2,13.16,.,.,.,.,"377,501","5,101,091","1,548,504",7.40
2010,8,AZ,Final,"478,076","4,123,425","2,543,288",11.59,"301,783","2,934,327","300,484",10.28,"77,154","1,033,540","7,172",7.47,0,0,0,0.00,.,.,.,.,"857,014","8,091,291","2,850,944",10.59
2010,8,CA,Final,"1,287,338","8,475,164","13,024,804",15.19,"1,719,882","11,473,500","1,827,556",14.99,"490,958","4,514,076","75,555",10.88,"6,424","70,943",14,9.06,.,.,.,.,"3,504,603","24,533,682","14,927,929",14.28
2010,8,CO,Final,"207,812","1,776,212","2,133,160",11.70,"177,117","1,828,809","351,288",9.68,"106,251","1,415,209","15,173",7.51,387,"3,969",1,9.75,.,.,.,.,"491,567","5,024,198","2,499,622",9.78
2010,8,CT,Final,"251,346","1,326,600","1,447,569",18.95,"212,213","1,295,625","149,221",16.38,"52,408","373,248","4,824",14.04,"1,625","15,005",2,10.83,.,.,.,.,"517,592","3,010,478","1,601,616",17.19
2010,8,DC,Final,"34,922","236,540","227,090",14.76,"117,559","883,096","26,484",13.31,"1,478","18,171",1,8.13,"3,241","29,356",1,11.04,.,.,.,.,"157,200","1,167,163","253,576",13.47
2010,8,DE,Final,"72,448","519,157","396,252",13.95,"46,918","416,140","49,036",11.27,"23,306","228,644","1,253",10.19,0,0,0,0.00,.,.,.,.,"142,672","1,163,942","446,541",12.26
2010,8,FL,Final,"1,526,688","12,969,489","8,502,176",11.77,"866,594","8,793,236","1,125,884",9.86,"138,077","1,524,282","18,390",9.06,655,"7,291",25,8.98,.,.,.,.,"2,532,013","23,294,299","9,646,475",10.87
2010,8,GA,Final,"764,320","6,931,251","4,079,278",11.03,"448,352","4,748,681","548,323",9.44,"205,740","2,870,793","16,055",7.17,"1,271","15,126",1,8.40,.,.,.,.,"1,419,683","14,565,852","4,643,657",9.75
2010,8,HI,Final,"74,737","261,461","414,761",28.58,"79,264","301,528","60,321",26.29,"72,979","326,714",688,22.34,0,0,0,0.00,.,.,.,.,"226,980","889,702","475,770",25.51
2010,8,IA,Final,"176,552","1,512,618","1,328,988",11.67,"105,305","1,153,009","217,908",9.13,"109,208","1,747,283","7,609",6.25,0,0,0,0.00,.,.,.,.,"391,065","4,412,910","1,554,505",8.86
2010,8,ID,Final,"53,359","628,932","665,129",8.48,"34,437","512,908","101,461",6.71,"61,380","1,115,658","26,971",5.50,0,0,0,0.00,.,.,.,.,"149,176","2,257,499","793,561",6.61
2010,8,IL,Final,"681,391","5,695,706","5,061,221",11.96,"484,928","5,167,304","579,147",9.38,"296,890","4,072,455","5,662",7.29,"2,453","36,358",4,6.75,.,.,.,.,"1,465,663","14,971,823","5,646,034",9.79
2010,8,IN,Final,"363,729","3,753,615","2,736,427",9.69,"203,784","2,415,677","341,713",8.44,"244,142","4,065,999","18,821",6.00,139,"1,531",1,9.08,.,.,.,.,"811,794","10,236,823","3,096,962",7.93
2010,8,KS,Final,"193,717","1,811,017","1,223,979",10.70,"136,563","1,573,731","221,290",8.68,"65,956","988,554","23,815",6.67,0,0,0,0.00,.,.,.,.,"396,237","4,373,301","1,469,084",9.06
2010,8,KY,Final,"274,593","3,001,069","1,934,762",9.15,"163,639","1,900,570","297,396",8.61,"186,920","3,361,531","7,347",5.56,0,0,0,0.00,.,.,.,.,"625,153","8,263,170","2,239,505",7.57
2010,8,LA,Final,"343,295","3,695,516","1,977,254",9.29,"204,557","2,407,508","274,749",8.50,"143,890","2,401,355","18,252",5.99,100,990,22,10.10,.,.,.,.,"691,841","8,505,369","2,270,277",8.13
2010,8,MA,Final,"312,695","2,100,901","2,666,265",14.88,"254,266","1,667,984","378,381",15.24,"217,042","1,496,825","16,179",14.50,"1,986","28,672",2,6.93,.,.,.,.,"785,989","5,294,382","3,060,827",14.85
2010,8,MD,Final,"428,986","2,887,684","2,200,573",14.86,"344,270","2,965,586","244,236",11.61,"44,332","452,989","8,761",9.79,"4,032","44,706",5,9.02,.,.,.,.,"821,620","6,350,964","2,453,575",12.94
2010,8,ME,Final,"62,569","396,435","700,564",15.78,"47,240","378,983","88,562",12.46,"25,785","280,205","2,806",9.20,0,0,0,0.00,.,.,.,.,"135,595","1,055,622","791,932",12.85
2010,8,MI,Final,"523,607","3,865,045","4,249,809",13.55,"362,731","3,698,530","519,881",9.81,"205,376","2,747,670","13,804",7.47,38,367,1,10.35,.,.,.,.,"1,091,752","10,311,612","4,783,495",10.59
2010,8,MN,Final,"256,291","2,267,694","2,304,042",11.30,"193,981","2,175,941","277,076",8.91,"143,842","2,128,413","12,343",6.76,145,"1,850",1,7.84,.,.,.,.,"594,259","6,573,899","2,593,462",9.04
2010,8,MO,Final,"444,764","4,206,339","2,698,368",10.57,"276,274","3,122,754","371,461",8.85,"98,558","1,510,300","8,908",6.53,162,"1,719",1,9.42,.,.,.,.,"819,759","8,841,112","3,078,738",9.27
2010,8,MS,Final,"231,140","2,245,315","1,259,054",10.29,"133,672","1,410,732","226,784",9.48,"95,814","1,402,292","7,428",6.83,0,0,0,0.00,.,.,.,.,"460,626","5,058,340","1,493,266",9.11
2010,8,MT,Final,"36,151","365,138","467,943",9.90,"37,334","423,360","101,235",8.82,"22,810","389,303","8,418",5.86,0,0,0,0.00,.,.,.,.,"96,295","1,177,801","577,596",8.18
2010,8,NC,Final,"671,451","6,380,926","4,203,917",10.52,"396,378","4,696,094","646,472",8.44,"170,930","2,531,051","11,065",6.75,44,606,8,7.26,.,.,.,.,"1,238,803","13,608,677","4,861,462",9.10
2010,8,ND,Final,"30,572","326,474","327,408",9.36,"31,859","408,821","58,963",7.79,"20,585","344,483","2,899",5.98,0,0,0,0.00,.,.,.,.,"83,016","1,079,779","389,270",7.69
2010,8,NE,Final,"111,631","1,083,987","802,281",10.30,"74,890","922,212","154,219",8.12,"71,047","1,033,606","71,093",6.87,0,0,0,0.00,.,.,.,.,"257,568","3,039,805","1,027,593",8.47
2010,8,NH,Final,"72,433","437,210","599,495",16.57,"61,628","420,395","104,734",14.66,"22,995","177,795","3,483",12.93,0,0,0,0.00,.,.,.,.,"157,056","1,035,400","707,712",15.17
2010,8,NJ,Final,"608,013","3,501,933","3,451,634",17.36,"577,431","3,863,627","479,217",14.95,"94,722","737,865","12,865",12.84,"2,716","25,504",6,10.65,.,.,.,.,"1,282,882","8,128,930","3,943,722",15.78
2010,8,NM,Final,"80,482","682,462","854,327",11.79,"82,162","866,897","135,538",9.48,"41,332","611,303","7,340",6.76,0,0,0,0.00,.,.,.,.,"203,976","2,160,662","997,205",9.44
2010,8,NV,Final,"203,584","1,670,566","1,061,462",12.19,"86,755","906,886","154,030",9.57,"109,272","1,188,147","3,652",9.20,88,815,18,10.80,.,.,.,.,"399,699","3,766,414","1,219,162",10.61
2010,8,NY,Final,"1,080,183","5,582,113","6,959,353",19.35,"1,285,414","7,503,301","1,039,857",17.13,"114,673","1,257,437","8,399",9.12,"34,039","232,095",23,14.67,.,.,.,.,"2,514,309","14,574,946","8,007,632",17.25
2010,8,OH,Final,"680,256","5,719,207","4,872,385",11.89,"427,023","4,416,230","613,913",9.67,"312,146","4,796,674","20,724",6.51,208,"2,376",3,8.75,.,.,.,.,"1,419,632","14,934,487","5,507,025",9.51
2010,8,OK,Final,"290,875","3,053,109","1,669,741",9.53,"165,906","2,050,699","263,123",8.09,"81,530","1,333,079","18,448",6.12,0,0,0,0.00,.,.,.,.,"538,310","6,436,887","1,951,312",8.36
2010,8,OR,Final,"127,167","1,403,539","1,630,051",9.06,"104,454","1,403,236","238,676",7.44,"58,854","1,098,969","27,433",5.36,144,"2,056",58,7.00,.,.,.,.,"290,618","3,907,801","1,896,218",7.44
2010,8,PA,Final,"700,456","5,294,941","5,242,834",13.23,"449,142","4,295,396","679,188",10.46,"304,685","3,948,178","27,309",7.72,"5,282","70,987",14,7.44,.,.,.,.,"1,459,566","13,609,502","5,949,345",10.72
2010,8,RI,Final,"53,039","310,258","422,930",17.10,"44,678","330,923","56,301",13.50,"9,847","83,039","1,968",11.86,313,"2,201",1,14.22,.,.,.,.,"107,878","726,421","481,200",14.85
2010,8,SC,Final,"378,530","3,486,958","2,100,070",10.86,"205,991","2,239,101","340,554",9.20,"156,522","2,524,483","4,561",6.20,0,0,0,0.00,.,.,.,.,"741,043","8,250,543","2,445,185",8.98
2010,8,SD,Final,"39,877","411,805","371,482",9.68,"31,996","400,422","66,693",7.99,"12,952","210,224","3,909",6.16,0,0,0,0.00,.,.,.,.,"84,825","1,022,451","442,084",8.30
2010,8,TN,Final,"469,132","4,896,754","2,713,881",9.58,"295,120","3,001,901","461,342",9.83,"182,527","2,606,308","2,063",7.00,18,162,1,11.11,.,.,.,.,"946,797","10,505,125","3,177,287",9.01
2010,8,TX,Final,"1,937,455","16,560,190","9,601,026",11.70,"1,150,678","12,576,293","1,462,432",9.15,"640,070","9,588,951","129,976",6.68,653,"6,642",3,9.83,.,.,.,.,"3,728,856","38,732,076","11,193,437",9.63
2010,8,UT,Final,"94,023","985,957","937,102",9.54,"68,882","931,625","122,878",7.39,"41,199","780,059","9,533",5.28,252,"2,831",10,8.90,.,.,.,.,"204,355","2,700,473","1,069,523",7.57
2010,8,VA,Final,"510,135","4,701,902","3,308,825",10.85,"339,028","4,419,309","427,748",7.67,"101,872","1,562,098","5,804",6.52,"1,312","17,422",1,7.53,.,.,.,.,"952,347","10,700,731","3,742,378",8.90
2010,8,VT,Final,"29,144","186,392","308,766",15.64,"24,980","186,954","50,829",13.36,"12,089","127,297",218,9.50,0,0,0,0.00,.,.,.,.,"66,212","500,643","359,813",13.23
2010,8,WA,Final,"201,719","2,444,343","2,834,823",8.25,"180,215","2,469,975","353,530",7.30,"97,576","2,339,984","34,152",4.17,46,621,6,7.41,.,.,.,.,"479,557","7,254,923","3,222,511",6.61
2010,8,WI,Final,"299,737","2,315,414","2,595,860",12.95,"227,129","2,228,648","338,211",10.19,"155,990","2,172,944","5,455",7.18,0,0,0,0.00,.,.,.,.,"682,856","6,717,006","2,939,526",10.17
2010,8,WV,Final,"98,164","1,066,586","867,068",9.20,"57,938","740,476","137,557",7.82,"60,310","1,002,054","12,510",6.02,23,249,1,9.24,.,.,.,.,"216,436","2,809,365","1,017,136",7.70
2010,8,WY,Final,"17,936","188,496","257,338",9.52,"26,435","352,781","59,538",7.49,"43,458","842,175","9,475",5.16,0,0,0,0.00,.,.,.,.,"87,830","1,383,451","326,351",6.35
2010,9,AK,Final,"22,774","145,505","273,349",15.65,"31,566","224,613","48,112",14.05,"16,246","113,853","1,620",14.27,0,0,0,0.00,.,.,.,.,"70,586","483,971","323,081",14.58
2010,9,AL,Final,"356,785","3,213,725","2,149,028",11.10,"218,726","2,156,116","357,257",10.14,"173,838","2,799,350","6,989",6.21,0,0,0,0.00,.,.,.,.,"749,350","8,169,191","2,513,274",9.17
2010,9,AR,Final,"166,610","1,869,576","1,329,807",8.91,"83,118","1,188,419","179,969",6.99,"78,716","1,504,110","37,118",5.23,4,37,2,10.81,.,.,.,.,"328,449","4,562,142","1,546,896",7.20
2010,9,AZ,Final,"412,018","3,575,563","2,543,230",11.52,"281,357","2,823,505","300,243",9.96,"70,784","1,010,437","7,158",7.01,0,0,0,0.00,.,.,.,.,"764,158","7,409,504","2,850,631",10.31
2010,9,CA,Final,"1,225,289","8,253,816","13,010,393",14.85,"1,713,880","11,235,996","1,822,870",15.25,"490,867","4,436,063","75,408",11.07,"6,465","70,069",11,9.23,.,.,.,.,"3,436,500","23,995,943","14,908,682",14.32
2010,9,CO,Final,"178,690","1,532,966","2,130,746",11.66,"165,017","1,718,313","351,348",9.60,"95,477","1,315,595","15,194",7.26,391,"3,885",1,10.06,.,.,.,.,"439,576","4,570,759","2,497,289",9.62
2010,9,CT,Final,"212,108","1,110,003","1,449,244",19.11,"197,450","1,207,810","149,668",16.35,"50,439","349,561","4,811",14.43,"1,909","18,250",2,10.46,.,.,.,.,"461,907","2,685,624","1,603,725",17.20
2010,9,DC,Final,"24,388","169,486","227,281",14.39,"104,309","787,307","26,434",13.25,"1,100","18,511",1,5.94,"2,987","27,812",1,10.74,.,.,.,.,"132,784","1,003,115","253,717",13.24
2010,9,DE,Final,"61,691","436,155","396,416",14.14,"45,730","406,943","50,018",11.24,"21,920","224,566","1,250",9.76,0,0,0,0.00,.,.,.,.,"129,341","1,067,664","447,684",12.11
2010,9,FL,Final,"1,412,903","12,048,824","8,550,031",11.73,"858,062","8,713,421","1,127,551",9.85,"130,525","1,470,036","18,259",8.88,689,"7,907",25,8.71,.,.,.,.,"2,402,178","22,240,188","9,695,866",10.80
2010,9,GA,Final,"607,966","5,728,755","4,072,276",10.61,"387,284","4,333,389","548,362",8.94,"160,856","2,686,418","15,879",5.99,"1,133","15,161",1,7.47,.,.,.,.,"1,157,239","12,763,722","4,636,518",9.07
2010,9,HI,Final,"69,445","247,877","415,389",28.02,"75,030","291,259","60,581",25.76,"68,628","311,579",692,22.03,0,0,0,0.00,.,.,.,.,"213,102","850,715","476,662",25.05
2010,9,IA,Final,"111,493","992,922","1,328,738",11.23,"79,712","965,285","218,213",8.26,"89,646","1,576,792","7,591",5.69,0,0,0,0.00,.,.,.,.,"280,852","3,534,999","1,554,542",7.94
2010,9,ID,Final,"42,856","531,143","665,662",8.07,"31,679","480,934","101,567",6.59,"47,086","851,581","26,951",5.53,0,0,0,0.00,.,.,.,.,"121,621","1,863,659","794,180",6.53
2010,9,IL,Final,"443,204","3,771,664","5,054,184",11.75,"394,838","4,370,839","577,770",9.03,"258,896","3,758,317","6,050",6.89,"2,710","40,929",4,6.62,.,.,.,.,"1,099,649","11,941,748","5,638,008",9.21
2010,9,IN,Final,"261,702","2,574,130","2,739,783",10.17,"173,556","2,035,649","341,935",8.53,"236,428","3,924,885","18,787",6.02,129,"1,321",1,9.77,.,.,.,.,"671,814","8,535,985","3,100,506",7.87
2010,9,KS,Final,"126,366","1,205,220","1,219,659",10.48,"119,386","1,385,845","221,188",8.61,"60,084","968,651","23,567",6.20,0,0,0,0.00,.,.,.,.,"305,836","3,559,715","1,464,414",8.59
2010,9,KY,Final,"203,251","2,273,605","1,931,003",8.94,"132,023","1,629,214","297,719",8.10,"188,776","3,594,037","7,345",5.25,0,0,0,0.00,.,.,.,.,"524,050","7,496,856","2,236,067",6.99
2010,9,LA,Final,"318,623","3,344,586","1,974,893",9.53,"204,398","2,337,128","274,450",8.75,"149,833","2,469,321","18,063",6.07,94,877,22,10.72,.,.,.,.,"672,948","8,151,912","2,267,428",8.26
2010,9,MA,Final,"269,225","1,839,328","2,682,300",14.64,"241,095","1,591,311","380,602",15.15,"218,048","1,522,792","16,152",14.32,"1,586","27,387",2,5.79,.,.,.,.,"729,953","4,980,817","3,079,056",14.66
2010,9,MD,Final,"336,812","2,255,439","2,200,593",14.93,"304,027","2,630,422","244,344",11.56,"38,027","410,076","8,757",9.27,"4,388","45,164",5,9.72,.,.,.,.,"683,255","5,341,101","2,453,699",12.79
2010,9,ME,Final,"54,102","340,759","700,619",15.88,"43,352","354,126","88,597",12.24,"23,825","278,358","2,815",8.56,0,0,0,0.00,.,.,.,.,"121,279","973,243","792,031",12.46
2010,9,MI,Final,"316,428","2,496,853","4,241,366",12.67,"320,076","3,153,873","519,259",10.15,"169,705","2,309,782","13,699",7.35,39,373,1,10.46,.,.,.,.,"806,248","7,960,881","4,774,325",10.13
2010,9,MN,Final,"173,771","1,568,919","2,304,437",11.08,"155,795","1,789,824","277,593",8.70,"123,953","1,970,384","12,368",6.29,142,"1,828",1,7.77,.,.,.,.,"453,661","5,330,955","2,594,399",8.51
2010,9,MO,Final,"275,817","2,835,379","2,696,518",9.73,"209,605","2,649,593","371,877",7.91,"89,816","1,465,264","8,889",6.13,164,"2,075",1,7.90,.,.,.,.,"575,401","6,952,311","3,077,285",8.28
2010,9,MS,Final,"205,288","2,039,413","1,258,113",10.07,"129,145","1,362,531","226,049",9.48,"89,161","1,351,122","6,962",6.60,0,0,0,0.00,.,.,.,.,"423,594","4,753,066","1,491,124",8.91
2010,9,MT,Final,"31,494","321,852","467,223",9.79,"35,523","400,098","101,345",8.88,"20,852","366,504","8,135",5.69,0,0,0,0.00,.,.,.,.,"87,869","1,088,454","576,703",8.07
2010,9,NC,Final,"566,708","5,374,288","4,202,440",10.54,"367,389","4,412,369","647,219",8.33,"144,185","2,273,887","11,006",6.34,45,655,8,6.87,.,.,.,.,"1,078,328","12,061,199","4,860,673",8.94
2010,9,ND,Final,"25,841","271,036","327,704",9.53,"28,836","356,976","59,072",8.08,"19,425","320,930","2,932",6.05,0,0,0,0.00,.,.,.,.,"74,102","948,942","389,708",7.81
2010,9,NE,Final,"77,268","756,302","802,327",10.22,"65,901","805,730","154,514",8.18,"53,169","823,829","70,981",6.45,0,0,0,0.00,.,.,.,.,"196,338","2,385,861","1,027,822",8.23
2010,9,NH,Final,"65,209","389,021","599,768",16.76,"58,822","402,256","104,789",14.62,"23,169","178,932","3,486",12.95,0,0,0,0.00,.,.,.,.,"147,201","970,209","708,043",15.17
2010,9,NJ,Final,"470,660","2,710,174","3,466,219",17.37,"500,264","3,497,911","481,939",14.30,"85,826","731,756","13,093",11.73,"3,075","26,789",6,11.48,.,.,.,.,"1,059,825","6,966,630","3,961,257",15.21
2010,9,NM,Final,"63,246","586,373","854,512",10.79,"71,977","822,443","135,701",8.75,"37,340","583,365","7,372",6.40,0,0,0,0.00,.,.,.,.,"172,563","1,992,181","997,585",8.66
2010,9,NV,Final,"141,611","1,139,029","1,062,745",12.43,"80,003","808,383","154,429",9.90,"110,012","1,167,100","3,645",9.43,83,874,18,9.50,.,.,.,.,"331,710","3,115,386","1,220,837",10.65
2010,9,NY,Final,"859,333","4,276,815","6,963,948",20.09,"1,136,000","7,115,380","1,036,266",15.97,"101,091","1,167,082","8,292",8.66,"31,644","232,216",22,13.63,.,.,.,.,"2,128,067","12,791,492","8,008,528",16.64
2010,9,OH,Final,"478,844","4,066,325","4,865,526",11.78,"374,401","3,820,759","612,706",9.80,"272,745","4,289,023","20,538",6.36,156,"1,627",3,9.59,.,.,.,.,"1,126,146","12,177,735","5,498,773",9.25
2010,9,OK,Final,"213,075","2,068,372","1,668,939",10.30,"138,198","1,675,426","263,015",8.25,"74,498","1,327,452","18,406",5.61,0,0,0,0.00,.,.,.,.,"425,772","5,071,249","1,950,360",8.40
2010,9,OR,Final,"112,815","1,240,500","1,630,402",9.09,"97,554","1,279,815","239,036",7.62,"57,677","1,047,036","27,384",5.51,147,"2,082",58,7.06,.,.,.,.,"268,192","3,569,434","1,896,880",7.51
2010,9,PA,Final,"540,354","4,174,056","5,244,779",12.95,"419,120","4,118,733","679,249",10.18,"305,282","3,834,068","27,318",7.96,"6,197","75,896",14,8.17,.,.,.,.,"1,270,953","12,202,753","5,951,360",10.42
2010,9,RI,Final,"41,869","265,703","429,842",15.76,"41,813","326,037","56,868",12.82,"10,001","85,943","1,988",11.64,317,"2,288",1,13.85,.,.,.,.,"94,000","679,971","488,699",13.82
2010,9,SC,Final,"308,811","2,889,414","2,099,037",10.69,"186,601","2,061,231","340,562",9.05,"134,476","2,331,995","4,540",5.77,0,0,0,0.00,.,.,.,.,"629,888","7,282,640","2,444,139",8.65
2010,9,SD,Final,"31,746","323,572","371,579",9.81,"29,105","366,271","66,782",7.95,"12,782","206,924","3,914",6.18,0,0,0,0.00,.,.,.,.,"73,633","896,767","442,275",8.21
2010,9,TN,Final,"397,447","4,087,394","2,711,274",9.72,"276,437","2,782,260","462,463",9.94,"189,816","2,649,357","2,031",7.16,19,132,1,14.39,.,.,.,.,"863,719","9,519,143","3,175,769",9.07
2010,9,TX,Final,"1,613,656","13,939,145","9,593,771",11.58,"1,066,057","11,689,057","1,460,035",9.12,"558,356","9,020,325","128,903",6.19,671,"6,828",3,9.83,.,.,.,.,"3,238,739","34,655,355","11,182,712",9.35
2010,9,UT,Final,"64,380","717,369","941,069",8.97,"72,884","939,565","123,757",7.76,"39,916","735,666","9,491",5.43,260,"2,677",10,9.71,.,.,.,.,"177,439","2,395,277","1,074,327",7.41
2010,9,VA,Final,"391,718","3,690,373","3,301,750",10.61,"315,249","4,222,067","427,367",7.47,"94,425","1,471,266","5,802",6.42,"1,215","16,974",1,7.16,.,.,.,.,"802,607","9,400,680","3,734,920",8.54
2010,9,VT,Final,"25,387","158,734","308,730",15.99,"23,125","171,897","50,872",13.45,"11,605","118,975",218,9.75,0,0,0,0.00,.,.,.,.,"60,116","449,606","359,820",13.37
2010,9,WA,Final,"185,043","2,215,624","2,832,726",8.35,"175,087","2,362,274","355,122",7.41,"94,695","2,229,835","33,926",4.25,45,624,6,7.21,.,.,.,.,"454,870","6,808,357","3,221,780",6.68
2010,9,WI,Final,"202,321","1,541,602","2,599,797",13.12,"194,127","1,871,133","339,643",10.37,"141,573","1,986,722","5,453",7.13,0,0,0,0.00,.,.,.,.,"538,021","5,399,458","2,944,893",9.96
2010,9,WV,Final,"74,330","799,900","867,645",9.29,"50,239","640,258","137,357",7.85,"57,304","958,470","12,369",5.98,31,430,1,7.21,.,.,.,.,"181,904","2,399,058","1,017,372",7.58
2010,9,WY,Final,"16,836","178,150","257,170",9.45,"27,580","364,732","59,519",7.56,"40,643","791,833","9,477",5.13,0,0,0,0.00,.,.,.,.,"85,059","1,334,714","326,166",6.37
2010,10,AK,Final,"26,579","165,092","273,170",16.10,"32,625","231,454","47,958",14.10,"14,209","109,199","1,236",13.01,0,0,0,0.00,.,.,.,.,"73,413","505,745","322,364",14.52
2010,10,AL,Final,"245,497","2,145,741","2,149,467",11.44,"189,309","1,771,977","357,890",10.68,"166,327","2,715,725","6,567",6.12,0,0,0,0.00,.,.,.,.,"601,133","6,633,443","2,513,924",9.06
2010,10,AR,Final,"113,486","1,290,812","1,328,582",8.79,"72,965","1,030,305","179,725",7.08,"74,501","1,413,817","33,869",5.27,4,36,2,11.11,.,.,.,.,"260,955","3,734,970","1,542,178",6.99
2010,10,AZ,Final,"267,549","2,441,991","2,551,742",10.96,"227,014","2,369,075","300,532",9.58,"67,495","985,976","7,102",6.85,0,0,0,0.00,.,.,.,.,"562,058","5,797,042","2,859,376",9.70
2010,10,CA,Final,"1,042,555","7,387,951","13,144,458",14.11,"1,439,843","10,677,021","1,837,144",13.49,"458,482","4,372,161","74,961",10.49,"5,770","69,077",11,8.35,.,.,.,.,"2,946,651","22,506,210","15,056,574",13.09
2010,10,CO,Final,"141,171","1,340,060","2,130,682",10.53,"143,901","1,614,241","351,179",8.91,"92,416","1,309,375","15,089",7.06,320,"3,630",1,8.82,.,.,.,.,"377,808","4,267,307","2,496,951",8.85
2010,10,CT,Final,"170,250","861,728","1,449,678",19.76,"171,387","1,048,158","149,451",16.35,"43,772","312,135","4,849",14.02,"1,499","14,176",2,10.57,.,.,.,.,"386,909","2,236,197","1,603,980",17.30
2010,10,DC,Final,"18,146","126,272","228,101",14.37,"94,417","712,998","26,451",13.24,"1,202","17,192",1,6.99,"2,475","25,177",1,9.83,.,.,.,.,"116,239","881,639","254,554",13.18
2010,10,DE,Final,"43,514","296,658","396,250",14.67,"39,599","343,013","49,971",11.54,"20,566","213,637","1,215",9.63,0,0,0,0.00,.,.,.,.,"103,678","853,308","447,436",12.15
2010,10,FL,Final,"1,099,379","9,394,538","8,464,317",11.70,"786,141","7,863,482","1,123,180",10.00,"126,973","1,375,471","18,006",9.23,651,"7,252",25,8.98,.,.,.,.,"2,013,144","18,640,744","9,605,528",10.80
2010,10,GA,Final,"383,066","3,832,454","4,071,678",10.00,"330,987","3,777,149","548,603",8.76,"146,100","2,596,436","15,645",5.63,820,"12,561",1,6.53,.,.,.,.,"860,974","10,218,600","4,635,927",8.43
2010,10,HI,Final,"72,718","255,557","415,183",28.45,"77,950","295,807","60,316",26.35,"71,682","326,400",684,21.96,0,0,0,0.00,.,.,.,.,"222,350","877,764","476,183",25.33
2010,10,IA,Final,"96,762","899,409","1,328,265",10.76,"76,469","996,286","218,000",7.68,"81,723","1,584,360","6,054",5.16,0,0,0,0.00,.,.,.,.,"254,954","3,480,055","1,552,319",7.33
2010,10,ID,Final,"43,470","539,864","665,965",8.05,"31,302","479,995","101,532",6.52,"29,551","629,106","25,742",4.70,0,0,0,0.00,.,.,.,.,"104,323","1,648,965","793,239",6.33
2010,10,IL,Final,"361,280","2,957,068","5,064,352",12.22,"364,042","4,102,193","579,611",8.87,"241,056","3,644,454","6,041",6.61,"2,745","43,030",3,6.38,.,.,.,.,"969,122","10,746,745","5,650,007",9.02
2010,10,IN,Final,"220,807","2,043,639","2,737,593",10.80,"168,193","1,973,589","341,843",8.52,"238,066","3,895,878","18,839",6.11,133,"1,354",1,9.82,.,.,.,.,"627,200","7,914,460","3,098,276",7.92
2010,10,KS,Final,"82,568","814,788","1,215,420",10.13,"102,255","1,254,744","221,114",8.15,"55,789","872,070","23,236",6.40,0,0,0,0.00,.,.,.,.,"240,611","2,941,602","1,459,770",8.18
